Full committee chairman|Darrell Issa|{'relation': 'is being here'}
Members of the Committee|Ms. Mattingley|{'relation': 'speaks to'}
children who were once in foster care|their own children|{'relation': 'involve'}
Biden Administration|Tribal sovereignty|{'relation': 'supports'}
available funding|multiple water management agencies|{'relation': 'can be utilized in conjunction with'}
U.S. Forest Service|Advisory Council on Historic Preservation|{'relation': 'has support from'}
public health|trust|{'relation': 'need to restore'}
Budget Accountability Office|climate change|{'relation': 'say is unsustainable'}
reducing methane emissions|oil and gas production|{'relation': 'is a root cause of climate change'}
Biden administration|regulatory burden|{'relation': 'has increased'}
U.S. Forest Service|procure and plant seedlings|{'relation': 'called on'}
The Chinese Exclusion Acts|Unauthorized Chinese migration|{'relation': 'resulted in'}
small and medium sized businesses|export|{'relation': 'has gone up a little bit'}
gentlemen|Mr. Chair|{'relation': 'has been thanked by'}
individual tribal members|IHS|{'relation': 'have been impacted by'}
Federal Government's regulatory authority|Congress|{'relation': 'is under an assault on'}
President's budget|Port Infrastructure Development Program|{'relation': 'would bring the total amount of funding available in FY 2025 to $530 million'}
project delivery|water infrastructure projects|{'relation': 'can build more innovative assets'}
vaccinations|mass harm|{'relation': 'were compared to'}
Facilities|SBA|{'relation': 'has oversight of'}
CISA's Notice of Proposed Rulemaking|cyberattacks|{'relation': 'has people concerned about'}
cyber insurance protection gap|potential damage to U.S. critical infrastructure|{'relation': 'has'}
Chinese People's Consultant of Congress|CCP|{'relation': 'is the policy advising body for'}
renewables|energy production|{'relation': 'would not be enough when the wind is not blowing'}
non|China|{'relation': 'raise concerns about human rights abuses'}
large corporations|will benefit from the tax credit provisions|{'relation': 'will benefit from the Inflation Reduction Act'}
VA medical center|Employee|{'relation': 'has policies regarding'}
shifts|climate change|{'relation': 'in'}
reservists|FEMA|{'relation': 'has a training program for'}
community college|rural communities|{'relation': 'can be helpful for'}
energy sources|oil and gas demand|{'relation': 'are the most efficient in'}
economy|national security|{'relation': 'is related to'}
State Homeland Security Grant Program|Fire Departments|{'relation': 'helps to maintain readiness to respond to major disasters'}
technologies of concern|Chinese companies|{'relation': 'should be restricted to protect human rights'}
criminal investigators|Homeland Security Investigations|{'relation': 'is a part of'}
National Incident Management Assistance Team|FEMA|{'relation': 'is a team of'}
corporations|products|{'relation': 'makes overseas'}
higher corporate taxes|prices for consumers|{'relation': 'result in'}
Public transit workers|Jobs|{'relation': 'have connections to'}
financial concerns|Senator Van Hollen|{'relation': 'has been concerned about'}
high hazard workplaces|workers|{'relation': 'are protected from'}
China's legal system|Chinese Communist Party|{'relation': 'is a critic of'}
minimum cybersecurity requirements|cybersecurity|{'relation': 'should be considered'}
Offshore energy|less environmental impact|{'relation': 'is a true story of accomplishing more with'}
convening authority|National Cyber Director|{'relation': 'What are going to be the strengths of getting this done'}
Emerging technologies|China|{'relation': 'poses a threat to'}
Small Business Development Centers|Small Business Administration (SBA|{'relation': 'have'}
forest management practices|Forest Resource Association|{'relation': 'can allow'}
other costs|mandatory fixed cost increases|{'relation': 'are included in'}
regulations|small innovators|{'relation': 'can compile and buildup on'}
Federal law enforcement|police forces of likeminded partners|{'relation': 'are part of'}
civilian|Army Reserve|{'relation': 'can be brought into'}
Public lands management|Mining Regulatory Clarity Act|{'relation': 'would upend'}
protective gear|firefighters|{'relation': 'are needed to respond to'}
room 2154|The Subcommittee|{'relation': 'is the location of'}
Cost of doing business|Small businesses|{'relation': 'will be challenging'}
fossil fuel workers|through the transition to renewables|{'relation': 'must be supported'}
Congress|anti|{'relation': 'should be regulated'}
Emergency response workers|health and safety risks|{'relation': 'face considerable'}
Chinese connections|privacy|{'relation': 'compromise of'}
our southern border|illegal entry|{'relation': 'has become a crisis'}
Native American owned businesses|people|{'relation': 'employing in their communities'}
corporations|offshoring|{'relation': 'use tax tricks like'}
House Foreign Affairs Committee|State Department|{'relation': 'is related to'}
subcommittee hearing|Chairman Dan Bishop|{'relation': 'made on May 16, 2024'}
States and Indian tribes|PEAF|{'relation': 'are eligible for reallotted funds'}
National Cybersecurity Strategy (NCS|Implementation Plan|{'relation': 'pursuant to'}
Native Americans|affordable dental care|{'relation': 'especially have a problem with'}
U.S. Department of Agriculture|Rural Partners Network|{'relation': 'assists rural communities'}
loan programs|SBA|{'relation': 'are administered by'}
sicker|disabled Long COVID patients|{'relation': 'hundreds of thousands likely to become and almost certainly become poorer'}
specific accountability measures|Federal agencies|{'relation': 'should adhere to'}
other goals|Government agencies|{'relation': 'are being served by'}
federally assisted infrastructure projects|all federal agencies and departments|{'relation': 'across'}
subsidies portion of agriculture|U.S.|{'relation': 'needs to be the focus of'}
resources and transparency|Federal Government|{'relation': 'makes as possible'}
Senators Murkowski|Committee on Health, Education, Labor, and Pensions|{'relation': 'are members of'}
tax increase|families and small businesses|{'relation': 'will affect'}
incentive programs|farmers|{'relation': 'could accelerate the implementation and maximize the benefits of'}
farm financial conditions|farmers|{'relation': 'is focused on the well being of'}
roadmap for Congress to further strengthen invaluable Federal programs|Congress|{'relation': 'is for'}
cybersecurity needs|critical infrastructure sectors|{'relation': 'is complicated by interdependency and interconnectedness'}
acres|Forest Service|{'relation': 'has 340,000'}
primary health care|Older Americans Act|{'relation': 'we have begun work on'}
Reasonably young person|COVID|{'relation': 'was hospitalized with'}
human rights violations|China's manufacturing industries|{'relation': 'are built on'}
different countries|Senator Van Hollen|{'relation': 'was mentioned by'}
Judiciary Committee|Congress|{'relation': 'should do the same'}
Cyber Effects|cyber work force|{'relation': 'encompasses a wide range of'}
USVI's heavy reliance on imported fossil fuels|high energy costs|{'relation': 'contributes to'}
Rules Committee|I|{'relation': 'was Chairman of'}
smaller businesses|research and development|{'relation': 'has thoughts on'}
all industries|tax relief|{'relation': 'advantages'}
artificial intelligence|skills necessary for cybersecurity|{'relation': 'are constantly evolving'}
contractors|Chairman|{'relation': 'have been working with'}
Federal level|charter schools|{'relation': 'are talking about'}
enforcement|infrastructure|{'relation': 'is being used'}
bipartisan manner|CWMD Office|{'relation': 'is discussed by'}
VA facilities|staffing|{'relation': 'are looking to cut back on'}
fiscal reform|inflation|{'relation': 'can help deal with'}
stronger supply chains|more jobs|{'relation': 'and'}
retirement pay|veterans|{'relation': 'is for'}
US Department of Transportation|Federal Highway Administration|{'relation': 'has been used by'}
agricultural producers|U.S. agricultural trade|{'relation': 'has signaled a deficit'}
nutrition services|funding|{'relation': 'is primarily spent on'}
Committee hearing|is adjourned|{'relation': 'is related to'}
the number of|committees|{'relation': 'in Congress'}
thank you|Chairman Pfluger|{'relation': 'I'}
Representative Van Duyne|Thank you very much, Mr. Chairman|{'relation': 'has'}
Congressperson|hearing|{'relation': 'is here for'}
Federal revenues|tax cuts|{'relation': 'have dramatically reduced'}
VA's success|its collaboration with local VSO Officers|{'relation': 'is due to'}
pharmaceutical companies|profit|{'relation': 'are earning'}
defense of the Nation|National Guard|{'relation': 'is the primary combat reserve of our defense of the Nation'}
Federal programs|Supplemental Nutrition Assistance Program|{'relation': 'would be sought through'}
Consumer Safety Protection Bureau|new mandatory regulations|{'relation': 'would be required to issue'}
